spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
132208,0,0,0,0,0,0,0,0,0
132173,1,0,0,0,0,0,0,0,0
132140,2,0,0,0,0,0,0,0,0
132106,3,0,0,0,0,0,0,0,0
132072,4,0,0,0,0,0,0,0,0
132039,5,0,0,0,0,0,0,0,0
132006,6,0,0,0,0,0,0,0,0
131973,7,0,0,0,0,0,0,0,0
131939,8,0,0,0,0,0,0,0,0
131905,9,0,0,0,0,0,0,0,0
131868,10,0,0,0,0,0,0,0,0
131802,11,0,0,0,0,0,0,0,0
131765,12,0,0,0,0,0,0,0,0
131732,13,0,0,0,0,0,0,0,0
131698,14,0,0,0,0,0,0,0,0
131664,15,0,0,0,0,0,0,0,0
131630,16,0,0,0,0,0,0,0,0
131597,17,0,0,0,0,0,0,0,0
131563,18,0,0,0,0,0,0,0,0
131530,19,0,0,0,0,0,0,0,0
131496,20,0,0,0,0,0,0,0,0
131462,21,0,0,0,0,0,0,0,0
131429,22,0,0,0,0,0,0,0,0
131394,23,0,0,0,0,0,0,0,0
131361,24,0,0,0,0,0,0,0,0
131327,25,0,0,0,0,0,0,0,0
131293,26,0,0,0,0,0,0,0,0
131259,27,0,0,0,0,0,0,0,0
131226,28,0,0,0,0,0,0,0,0
131190,29,0,0,0,0,0,0,0,0
131157,30,0,0,0,0,0,0,0,0
131124,31,0,0,0,0,0,0,0,0
131090,32,0,0,0,0,0,0,0,0
