id,prop,spf
131090,0.17,40
131124,0.17,40
131157,0.17,40
131190,0.17,40
131226,0.17,40
131259,0.17,40
131293,0.17,40
131327,0.17,40
131361,0.17,40
131394,0.17,40
131429,0.17,40
131462,0.17,40
131496,0.17,40
131530,0.17,40
131563,0.17,40
131597,0.17,40
131630,0.17,40
131664,0.17,40
131698,0.17,40
131732,0.17,40
131765,0.17,40
131802,0.17,40
131868,0.17,40
131905,0.17,40
131939,0.17,40
131973,0.17,40
132006,0.17,40
132039,0.17,40
132072,0.17,40
132106,0.17,40
132140,0.17,40
132173,0.17,40
132208,0.17,40
139141,0.17,40
